date,EMA
2007-12-03,336.6387
2007-12-04,337.2578
2007-12-05,338.5034
2007-12-06,340.4305
2007-12-07,342.1553
2007-12-10,343.8855
2007-12-11,344.5331
2007-12-12,345.1259
2007-12-13,345.4091
2007-12-14,345.47
2007-12-17,344.5348
2007-12-18,343.8856
2007-12-19,343.4901
2007-12-20,343.7209
2007-12-21,344.264
2007-12-24,344.9484
2007-12-26,346.0505
2007-12-27,346.5652
2007-12-28,347.1164
2007-12-31,347.0873
2008-01-02,346.7605
2008-01-03,346.4715
2008-01-04,344.8568
2008-01-07,343.0257
2008-01-08,340.5297
2008-01-09,339.2994
2008-01-10,337.8772
2008-01-11,336.1854
2008-01-14,335.3984
2008-01-15,333.914
2008-01-16,331.5344
2008-01-17,328.6574
2008-01-18,326.0285
2008-01-22,322.8905
2008-01-23,318.3447
2008-01-24,315.4675
2008-01-25,312.478
2008-01-28,309.2754
2008-01-29,306.117
2008-01-30,303.1519
2008-01-31,301.2349
2008-02-01,297.1886
2008-02-04,292.5499
2008-02-05,288.8961
2008-02-06,285.3471
2008-02-07,282.2909
2008-02-08,280.0865
2008-02-11,278.3056
2008-02-12,276.5476
2008-02-13,275.7467
2008-02-14,274.9088
2008-02-15,274.0261
2008-02-19,272.2391
2008-02-20,270.6247
2008-02-21,268.8708
2008-02-22,267.5199
2008-02-25,265.2773
2008-02-26,262.1856
2008-02-27,259.8024
2008-02-28,257.767
2008-02-29,255.7244
2008-03-03,253.1999
2008-03-04,250.3226
2008-03-05,247.8674
2008-03-06,244.9296
2008-03-07,242.3026
2008-03-10,238.9833
2008-03-11,237.2326
2008-03-12,235.6649
2008-03-13,234.3816
2008-03-14,232.9775
2008-03-17,230.8449
2008-03-18,229.8368
2008-03-19,228.5827
2008-03-20,227.5221
2008-03-24,227.8526
2008-03-25,227.6846
2008-03-26,227.8865
2008-03-27,227.3951
2008-03-28,226.664
2008-03-31,226.1167
2008-04-01,226.8271
2008-04-02,227.4694
2008-04-03,227.5451
2008-04-04,228.3765
2008-04-07,229.4023
2008-04-08,229.9001
2008-04-09,230.1776
2008-04-10,230.6623
2008-04-11,230.5452
2008-04-14,230.1627
2008-04-15,229.5865
2008-04-16,229.4563
2008-04-17,229.0762
2008-04-18,233.0252
2008-04-21,236.5207
2008-04-22,240.5053
2008-04-23,243.7039
2008-04-24,246.4332
2008-04-25,248.9512
2008-04-28,251.6144
2008-04-29,254.3273
2008-04-30,257.5374
2008-05-01,261.3394
2008-05-02,264.2161
2008-05-05,267.469
2008-05-06,270.0041
2008-05-07,271.9462
2008-05-08,273.8949
2008-05-09,275.1895
2008-05-12,276.9215
2008-05-13,278.3959
2008-05-14,279.4098
2008-05-15,280.5517
2008-05-16,281.5404
2008-05-19,282.3131
2008-05-20,283.0639
2008-05-21,282.3765
2008-05-22,281.7293
2008-05-23,280.9125
2008-05-27,280.9512
2008-05-28,281.3367
